ID	Old assigned taxonomy	New assigned taxonomy	Type of change
13839	k__Bacteria|p__Proteobacteria|c__CFGB2809|o__OFGB2809|f__FGB2809|g__GGB8976|s__GGB8976_SGB13839|t__SGB13839	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Porticoccaceae|g__Porticoccaceae_unclassified|s__Porticoccaceae_bacterium|t__SGB13839	From uSGB to kSGB
14925	k__Bacteria|p__Firmicutes|c__CFGB3036|o__OFGB3036|f__FGB3036|g__GGB9525|s__GGB9525_SGB14925|t__SGB14925	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB14925	From uSGB to kSGB
15084	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9630|s__GGB9630_SGB15084|t__SGB15084	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB15084	From uSGB to kSGB
15196	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9690|s__GGB9690_SGB15196|t__SGB15196	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB15196	From uSGB to kSGB
15235	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9708|s__GGB9708_SGB15235|t__SGB15235	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB15235	From uSGB to kSGB
15249	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9713|s__GGB9713_SGB15249|t__SGB15249	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB15249	From uSGB to kSGB
17390	k__Bacteria|p__Firmicutes|c__CFGB3191|o__OFGB3191|f__FGB3191|g__GGB10733|s__GGB10733_SGB17390|t__SGB17390	k__Bacteria|p__Planctomycetes|c__Planctomycetes_unclassified|o__Planctomycetes_unclassified|f__Planctomycetes_unclassified|g__Planctomycetes_unclassified|s__Planctomycetes_bacterium|t__SGB17390	From uSGB to kSGB
24667	k__Bacteria|p__Firmicutes|c__CFGB5454|o__OFGB5454|f__FGB5454|g__GGB16283|s__GGB16283_SGB24667|t__SGB24667	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ruminantium|t__SGB24667	From uSGB to kSGB
36342	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__GGB24496|s__GGB24496_SGB36342|t__SGB36342	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes|t__SGB36342	From uSGB to kSGB
36345	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__GGB24498|s__GGB24498_SGB36345|t__SGB36345	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes|t__SGB36345	From uSGB to kSGB
36348	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_SGB36348|t__SGB36348	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes|t__SGB36348	From uSGB to kSGB
36349	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__GGB24500|s__GGB24500_SGB36349|t__SGB36349	k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes|t__SGB36349	From uSGB to kSGB
